creator_id,creator_name,creator_nickname,region,product_categories,follower_cnt,creator_oecuid,主页
6726567136771015686,jesswalters24,jess,GB,女装与女士内衣|箱包,1263,7493993400745756972,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6726567136771015686&pair_source=author_recommend&enter_from=affiliate_home_page
6969253589844345862,codrinachetaa,Codrina🤍,GB,玩具与乐器|母婴用品,1958,7494132400266775351,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6969253589844345862&pair_source=author_recommend&enter_from=affiliate_home_page
7047869212472067078,cheyennevlogz,CheyenneVlogZ📸,GB,家纺布艺|鞋靴|女装与女士内衣,1613,7494462785796410293,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7047869212472067078&pair_source=author_recommend&enter_from=affiliate_home_page
6719570564756964357,lara.diazx,Lara,GB,运动与户外,1796,7493998055604455891,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6719570564756964357&pair_source=author_recommend&enter_from=affiliate_home_page
7114259469882328069,happycamel_2,gzdf33,GB,女装与女士内衣|男装与男士内衣|鞋靴,2055,7494676070352390475,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7114259469882328069&pair_source=author_recommend&enter_from=affiliate_home_page
7073118648362157061,lucyb3llslive,lucy belle 🫶,GB,美妆个护|女装与女士内衣|时尚配件,2097,7494543321575492591,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7073118648362157061&pair_source=author_recommend&enter_from=affiliate_home_page
7146955368895562754,jeslaurenloves,Jes Lauren,GB,女装与女士内衣|男装与男士内衣|时尚配件,3818,7494764202758933002,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7146955368895562754&pair_source=author_recommend&enter_from=affiliate_home_page
7114695681949008901,hailee_choice,Hailee,GB,运动与户外|女装与女士内衣|时尚配件,2455,7494677107645385223,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7114695681949008901&pair_source=author_recommend&enter_from=affiliate_home_page
7120797697653916677,fashionslifeshop,HHBBGROUP-Fashion shop,GB,男装与男士内衣|时尚配件|运动与户外,1356,7494691726290947015,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7120797697653916677&pair_source=author_recommend&enter_from=affiliate_home_page
7098674691040396293,happycamel_1,BigGShop4,GB,女装与女士内衣|男装与男士内衣|鞋靴,2640,7494635491269118725,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7098674691040396293&pair_source=author_recommend&enter_from=affiliate_home_page
6532388626226970626,megan1991xox,Megan Arneil,GB,运动与户外|女装与女士内衣|鞋靴,4574,7494013913162941656,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6532388626226970626&pair_source=author_recommend&enter_from=affiliate_home_page
7016411732647379974,graceyleahackingxoxox,gracey lea hacking,GB,箱包|时尚配件|女装与女士内衣,2582,7494312682779347275,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7016411732647379974&pair_source=author_recommend&enter_from=affiliate_home_page
6809657290464461829,bourntostyle,Bourntostyle,GB,女装与女士内衣|运动与户外|美妆个护,2287,7494026141523281722,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6809657290464461829&pair_source=author_recommend&enter_from=affiliate_home_page
7124968934827213830,carinayedda,user5394067690774,GB,穆斯林时尚|女装与女士内衣,2083,7494700558578321791,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7124968934827213830&pair_source=author_recommend&enter_from=affiliate_home_page
7122774726817563653,ahaahagirl,AhaAhaGirl,GB,女装与女士内衣|运动与户外|男装与男士内衣,2868,7494695972898572768,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7122774726817563653&pair_source=author_recommend&enter_from=affiliate_home_page
6696912360416084998,j.s_20x,Jess🖤,GB,女装与女士内衣|食品饮料|时尚配件,3626,7493994537415837263,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6696912360416084998&pair_source=author_recommend&enter_from=affiliate_home_page
6735050112168461318,cl4re_offical,💓 Cl4re 💓,GB,手机与数码|女装与女士内衣|时尚配件,3653,7494007896708973668,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6735050112168461318&pair_source=author_recommend&enter_from=affiliate_home_page
7089325517522519046,paigehelenmichell,Paige Helen Michelle,GB,女装与女士内衣|食品饮料|美妆个护,4331,7494609316231416831,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7089325517522519046&pair_source=author_recommend&enter_from=affiliate_home_page
6793013806697841670,brooke_shen,brooke_shen,GB,美妆个护|女装与女士内衣,3903,7493994563152218640,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6793013806697841670&pair_source=author_recommend&enter_from=affiliate_home_page
6814028281831556101,megan_made,Meg Davies,GB,女装与女士内衣|厨房用品,3363,7494002660058958494,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6814028281831556101&pair_source=author_recommend&enter_from=affiliate_home_page
7079307168206013446,serenahere888,Loveofcrystal,GB,时尚配件|玩具与乐器|厨房用品,2149,7494562522255820892,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7079307168206013446&pair_source=author_recommend&enter_from=affiliate_home_page
6341904,darcynicholson,Darcy Nicholson,GB,运动与户外,2408,7494015541906998544,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6341904&pair_source=author_recommend&enter_from=affiliate_home_page
6808099927671981062,32choudhury,@32choudhury,GB,美妆个护|女装与女士内衣|家电,4033,7494007286106851024,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6808099927671981062&pair_source=author_recommend&enter_from=affiliate_home_page
6792728504657675269,anitaafsana1,Anitaaa,GB,居家日用|穆斯林时尚|时尚配件,1195,7494016945752671893,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6792728504657675269&pair_source=author_recommend&enter_from=affiliate_home_page
7156635281994236933,myung_yphg,user1447780696985,GB,女装与女士内衣|鞋靴|箱包,1359,7494794378490776031,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7156635281994236933&pair_source=author_recommend&enter_from=affiliate_home_page
7157716804999627781,jodiepippa11,JodiePippa11,GB,女装与女士内衣|鞋靴|穆斯林时尚,1390,7494797581561858434,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7157716804999627781&pair_source=author_recommend&enter_from=affiliate_home_page
7139543808552092678,_mxrwael,MARWA,GB,美妆个护|女装与女士内衣|家纺布艺,1282,7494741073080256836,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7139543808552092678&pair_source=author_recommend&enter_from=affiliate_home_page
6726151150897546245,khiyahnaat,Khiyah Rehman,GB,女装与女士内衣|美妆个护|穆斯林时尚,4518,7494015889812719317,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6726151150897546245&pair_source=author_recommend&enter_from=affiliate_home_page
7076303112478360581,dpainting01,Dpainting01,GB,玩具与乐器|家纺布艺|居家日用,2738,7494552551298336816,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=7076303112478360581&pair_source=author_recommend&enter_from=affiliate_home_page
6777483411852919813,jessgraysonn,Jess Grayson,GB,美妆个护|食品饮料|女装与女士内衣,4388,7493991478905899329,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6777483411852919813&pair_source=author_recommend&enter_from=affiliate_home_page
93824790540517376,finbev,fin!,GB,男装与男士内衣|女装与女士内衣,1382,7493997621768522022,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=93824790540517376&pair_source=author_recommend&enter_from=affiliate_home_page
6741364096626869254,jxdeleah,Jade,GB,女装与女士内衣|男装与男士内衣,3390,7494003834882788077,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6741364096626869254&pair_source=author_recommend&enter_from=affiliate_home_page
6832371895615407109,makeupbyciaralouise,Ciara Louise,GB,美妆个护|居家日用|时尚配件,2135,7493991042257946122,https://affiliate.tiktokglobalshop.com/connection/creator/detail?cid=6832371895615407109&pair_source=author_recommend&enter_from=affiliate_home_page
